Site.Number,Source,Chapin.Gray,Moccasin.Gray,Mancos.Gray,Mancos.Corrugated,Dolores.Corrugated,Mesa.Verde.Corrugated,Chapin.B.W,Piedra.B.W,Cortez.B.W,Mancos.B.W,McElmo.B.W,Mesa.Verde.B.W,Abajo.R.O,Bluff.B.R,Deadmans.B.R,Indeterminate.Gray,Indeterminate.Corrugated,Indeterminate.White,Indeterminate.B.W,Indeterminate.B.R,Other
5MV02481,MVNP_L3_DB_2017,1,0,0,2,0,1,0,0,2,10,2,1,0,0,0,15,137,34,32,0,0
5MV03477,MVNP_L3_DB_2017,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,21,52,17,7,0,0
5MV03509,MVNP_L3_DB_2017,0,0,0,1,0,0,0,0,4,5,0,0,0,0,0,0,10,9,0,0,0
5MV03511,MVNP_L3_DB_2017,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,15,25,14,3,0,0
5MV03517,MVNP_L3_DB_2017,0,0,0,2,0,0,0,0,0,8,4,0,0,0,0,5,34,15,5,0,0
5MV03520,MVNP_L3_DB_2017,0,0,8,0,0,0,0,0,1,3,0,0,0,0,0,1,8,0,0,0,0
5MV03522,MVNP_L3_DB_2017,0,0,0,1,0,0,0,0,7,7,0,0,0,0,0,1,48,3,9,0,0
5MV03534,MVNP_L3_DB_2017,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,1,17,3,3,0,0
5MV03537,MVNP_L3_DB_2017,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,70,41,9,0,0
5MV03538,MVNP_L3_DB_2017,0,0,0,3,0,3,0,0,0,5,9,0,0,0,0,8,20,13,3,0,0
5MV03539,MVNP_L3_DB_2017,6,0,0,2,1,0,0,0,0,2,0,0,0,0,0,9,49,15,16,0,2
5MV03540,MVNP_L3_DB_2017,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,58,7,32,3,0,0
5MV03546,MVNP_L3_DB_2017,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,3,14,7,6,0,0
5MV03548,MVNP_L3_DB_2017,0,0,0,2,0,0,0,0,0,2,3,0,0,0,0,0,9,3,1,0,0
5MV03551,MVNP_L3_DB_2017,0,0,0,1,2,1,0,0,0,4,5,2,0,0,0,3,50,22,26,0,0
5MV03554,MVNP_L3_DB_2017,0,0,0,1,1,0,0,1,3,10,2,0,0,0,0,3,94,52,20,0,0
5MV03557,MVNP_L3_DB_2017,0,0,7,5,0,0,0,0,3,10,0,0,0,0,1,11,41,10,12,0,0
5MV03558,MVNP_L3_DB_2017,0,0,4,3,0,0,0,0,4,0,0,0,0,0,0,33,28,8,2,0,3
5MV03559,MVNP_L3_DB_2017,0,0,0,1,0,1,0,0,1,0,5,0,0,0,0,1,12,3,8,0,0
