Site.Number,P1,P1P2,P2,P2P3,P3
5MV02481,0,0,0,1,0
5MV03477,0,0,1,0,0
5MV03509,0,0,1,0,0
5MV03511,1,0,1,0,0
5MV03517,0,0,0,1,0
5MV03520,0,0,1,0,0
5MV03522,0,0,1,0,0
5MV03534,0,0,0,1,0
5MV03537,0,0,0,1,0
5MV03538,0,0,0,1,0
5MV03539,0,0,0,1,0
5MV03540,0,1,0,0,0
5MV03546,0,1,0,0,0
5MV03548,1,0,0,1,0
5MV03551,0,0,0,1,0
5MV03554,0,0,0,1,0
5MV03557,0,1,0,0,0
5MV03558,0,1,0,0,0
5MV03559,0,0,0,1,0
5MV03560,0,0,0,1,0
5MV03561,0,0,0,1,0
5MV03562,0,0,1,0,0
5MV03563,0,0,0,0,1
5MV03598,0,0,0,1,0
5MV03601,0,0,1,0,0
5MV03603,0,0,1,0,0
5MV03613,0,0,1,0,0
5MV03617,0,0,0,1,0
5MV03619,0,0,0,1,0
5MV03622,0,0,0,1,0
5MV03626,0,0,1,0,0
5MV03630,0,0,1,0,1
5MV03632,0,0,0,1,0
5MV03633,0,0,0,1,0
5MV03634,0,0,0,1,0
5MV03644,0,0,1,0,0
5MV03661,0,0,1,0,0
5MV03664,0,0,0,0,1
5MV03682,0,1,0,0,0
5MV03694,0,0,1,0,0
5MV03696,1,0,0,1,0
5MV03698,1,0,0,1,0
5MV03702,0,0,0,1,0
5MV03706,0,0,0,1,0
5MV03707,0,0,0,1,0
5MV03708,0,0,0,1,0
5MV03717,0,0,1,0,0
5MV03719,0,0,1,0,0
5MV03724,0,0,1,0,0
5MV03725,0,1,0,0,0
5MV03727,0,0,1,0,0
5MV03728,0,0,0,1,0
5MV03729,0,0,1,0,0
5MV03733,0,0,0,1,0
5MV03745,0,0,0,1,0
5MV03747,0,0,0,1,0
5MV03749,0,0,1,0,1
5MV03751,0,1,0,0,0
5MV03753,0,0,0,1,0
5MV03754,0,0,0,1,0
5MV04008,0,0,1,0,0
5MV04009,0,0,1,0,0
5MV04011,0,1,0,0,0
5MV04014,0,0,1,0,0
5MV04033,0,0,1,0,0
5MV04065,0,0,1,0,0
5MV04066,0,0,0,1,0
5MV04069,0,0,1,0,0
5MV04140,0,0,1,0,0
5MV04157,0,0,1,0,0
5MV04218,0,0,1,0,0
5MV04244,0,0,0,1,0
5MV04277,0,1,0,0,0
5MV04278,0,1,0,0,0
5MV04296,0,0,0,1,0
5MV04304,0,0,1,0,0
5MV04319,0,0,1,0,0
5MV04367,0,0,0,0,1
5MV04525,0,1,0,0,0
