Site.Number,ph6,ph7,ph8,ph9,ph10,ph11,ph12,ph13,ph14,ph15,ph16,ph17,ph18,ph19
5MV02481,-999,-999,-999,-999,-999,-999,4,3,3,-999,-999,-999,-999,-999
5MV03477,1,1,1,1,-999,-999,-999,-999,1,-999,-999,-999,-999,-999
5MV03509,-999,-999,-999,-999,-999,-999,1,-999,1,-999,-999,-999,-999,-999
5MV03511,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999
5MV03517,1,1,1,1,-999,-999,-999,1,2,1,-999,-999,-999,-999
5MV03520,1,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999
5MV03522,-999,-999,-999,-999,-999,-999,1,-999,2,-999,-999,-999,-999,-999
5MV03534,1,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999
5MV03537,-999,-999,1,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999
5MV03538,1,1,1,1,-999,-999,-999,-999,1,1,1,1,-999,-999
5MV03539,-999,2,-999,-999,-999,-999,-999,-999,-999,3,-999,-999,-999,-999
5MV03540,3,-999,8,6,5,-999,-999,-999,1,-999,-999,-999,1,-999
5MV03546,1,-999,-999,-999,-999,-999,1,-999,1,-999,-999,-999,-999,-999
5MV03548,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999
5MV03551,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,2,2,-999,-999
5MV03554,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999
5MV03557,1,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999
5MV03558,1,-999,-999,-999,-999,2,-999,-999,1,-999,-999,-999,-999,-999
5MV03559,1,-999,-999,-999,-999,-999,1,-999,-999,1,-999,-999,-999,-999
5MV03560,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,1,-999,-999
5MV03561,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,2
5MV03562,1,-999,-999,-999,-999,-999,-999,-999,1,1,-999,-999,-999,-999
5MV03563,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,1
5MV03598,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999
5MV03601,1,-999,-999,-999,-999,-999,1,1,1,1,1,-999,-999,-999
5MV03603,1,-999,-999,-999,-999,1,1,-999,-999,1,-999,-999,-999,-999
5MV03613,-999,-999,1,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999
5MV03617,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,-999,-999,-999,-999
5MV03619,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,-999,-999,-999
5MV03622,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999
5MV03626,1,1,1,1,-999,-999,-999,-999,1,1,-999,-999,-999,-999
